7,0.0,3.8
1645,13.0,56.87
357,1.0,7.3
266,0.8,10.55
714,1.49,15.96
267,1.2,12.05
1050,5.8,28.34
309,0.99,10.11
236,0.7,8.8
170,1.21,11.16
1047,7.5,36.92
737,2.8,17.75
283,0.91,6.8
813,3.2,16.3
447,2.0,15.99
1307,4.0,24.95
1729,18.2,55.3
620,3.38,18.96
19,0.3,4.3
558,1.77,14.16
386,4.52,14.8
341,1.2,10.3
603,3.2,17.3
191,0.91,8.9
460,1.6,11.8
278,1.1,9.8
459,3.2,14.8
999,8.2,33.36
350,1.16,9.8
314,1.19,9.8
356,1.3,10.3
361,1.76,11.3
224,0.9,6.3
1075,3.65,18.8
940,3.1,17.85
1476,11.18,36.3
195,1.0,10.56
274,0.9,8.19
475,1.31,10.56
1839,12.3,42.8
280,0.8,8.8
1496,16.94,73.7
175,0.73,9.96
203,0.8,8.8
1074,7.3,28.55
1615,17.5,73.67
804,3.16,19.56
136,0.7,7.8
301,2.42,14.76
505,2.03,14.08
1418,9.7,47.3
435,2.3,16.6
579,1.7,12.3
235,0.57,8.3
660,3.6,19.55
1182,4.26,22.8
1159,4.3,24.36
757,2.3,14.8
560,2.31,15.96
2210,20.61,61.42
1505,5.5,27.0
170,0.85,9.96
1697,8.6,32.86
2147,19.2,70.63
403,1.48,10.8
202,1.31,11.16
307,1.1,11.8
324,1.29,11.8
1508,9.4,34.8
829,6.53,20.8
542,1.5,15.34
242,0.95,9.3
421,2.55,15.36
601,2.93,16.8
1048,5.05,25.56
422,0.9,11.76
404,1.0,12.36
768,2.4,14.8
465,1.7,13.55
364,1.28,12.36
416,2.19,14.76
432,1.7,13.56
601,3.2,18.35
179,0.86,8.8
1138,5.0,26.75
519,3.0,17.15
1879,8.16,30.8
1080,5.88,26.92
1584,8.83,34.98
615,3.5,25.42
1653,17.9,66.42
1587,8.63,41.34
713,3.6,20.15
185,0.4,7.8
607,1.63,14.76
417,1.8,13.55
1748,16.86,73.7
360,1.0,7.3
482,2.67,15.3
782,3.23,16.3
1580,8.01,33.8
301,1.3,12.36
1649,17.9,71.42
2263,18.7,65.92
1244,10.5,37.3
248,1.02,9.3
175,0.9,8.3
1674,12.4,48.3
1590,19.01,67.76
814,3.91,21.36
3368,26.42,115.44
459,2.5,16.6
279,1.54,11.76
594,3.04,15.8
554,2.2,16.55
130,0.69,7.89
491,2.48,15.36
1457,14.47,53.5
256,0.8,10.55
139,0.76,8.8
232,1.28,11.8
257,0.81,11.44
168,0.64,9.96
778,4.3,19.8
1535,7.42,39.5
359,0.93,11.0
2075,20.62,61.42
275,1.23,12.25
458,1.58,11.3
231,1.09,9.3
165,0.65,8.3
1452,5.12,23.8
462,1.9,13.8
281,0.9,11.16
516,1.5,11.8
293,2.2,11.8
469,1.61,13.56
1284,5.27,28.56
595,2.34,15.96
1786,11.92,55.3
384,1.31,12.36
462,1.6,14.15
252,1.1,11.15
1051,4.2,19.3
1182,4.71,18.8
138,0.3,14.3
1284,4.75,21.8
1079,10.13,41.92
342,1.5,10.8
188,1.1,11.0
1249,5.71,27.0
316,1.0,10.12
1146,8.2,28.3
332,1.3,7.8
178,0.55,8.8
1012,7.88,33.36
106,0.4,7.3
833,3.04,18.3
736,3.5,18.95
1595,16.96,66.36
706,3.56,18.36
11,0.01,55.3
1559,8.6,44.87
339,1.32,12.56
576,4.74,22.56
85300,5.36,25.56
273,0.89,10.56
262,1.77,12.36
1606,18.76,73.7
669,2.76,14.8
746,2.13,17.25
320,0.9,12.05
568,1.89,9.8
690,2.49,15.3
396,0.9,7.3
529,2.4,15.95
1041,7.77,29.76
205,1.13,10.56
407,2.13,14.76
1439,0.0,31.0
1505,6.8,27.3
250,1.52,9.8
714,3.0,15.8
547,2.77,16.56
350,1.66,12.96
1191,15.36,42.3
1073,4.1,20.3
1212,9.0,37.55
892,5.4,22.0
374,1.8,11.3
197,0.75,8.3
820,3.9,15.3
817,2.69,15.8
345,1.23,11.76
1879,21.13,70.92
514,4.55,15.8
176,0.8,8.3
306,1.14,9.8
983,4.49,23.76
644,3.09,18.36
822,5.08,25.3
243,0.91,11.16
831,3.1,13.8
445,1.39,12.5
4,0.0,44.3
1183,10.0,38.75
1793,14.3,63.04
295,0.8,9.3
1631,19.64,64.56
1110,9.15,28.3
306,1.2,11.75
850,5.04,19.3
265,0.8,10.55
18,0.0,6.3
472,1.0,10.8
304,1.6,11.3
532,1.36,11.8
190,0.72,8.3
234,0.71,10.56
483,1.6,14.15
1506,17.04,71.89
308,1.72,12.96
2043,18.69,73.7
275,1.36,11.76
244,1.78,10.3
447,2.08,15.38
509,2.2,15.35
455,1.44,12.3
418,2.02,14.75
133,0.93,8.3
127,0.3,8.75
342,1.3,12.35
337,0.9,9.8
465,1.84,11.3
169,0.56,7.8
755,3.18,19.0
1610,6.03,27.8
494,0.87,10.88
207,0.91,10.56
363,1.72,12.51
592,1.9,10.3
280,1.56,12.5
460,1.69,14.16
543,3.62,16.83
1300,3.58,26.5
430,1.91,13.8
1287,7.86,32.42
749,4.59,18.3
1352,5.4,24.3
479,1.67,11.8
530,2.29,15.96
176,0.7,9.96
539,1.97,16.0
388,1.59,13.56
147,1.01,8.8
189,0.8,6.3
210,1.05,11.0
594,2.5,15.95
862,2.45,15.3
385,1.88,13.0
278,0.92,11.16
1601,18.5,65.3
349,1.0,11.75
1359,6.1,30.95
538,1.3,12.8
631,2.3,16.55
554,2.35,12.8
304,0.96,11.62
1320,5.89,28.56
738,3.51,20.16
916,4.64,19.3
699,2.66,14.8
243,0.9,8.8
1668,15.2,54.1
2001,20.8,66.36
191,0.66,10.38
1627,18.0,73.67
1115,7.2,32.85
818,3.32,16.3
1141,10.84,31.8
704,4.01,20.76
597,2.07,15.36
146,0.78,8.3
662,3.0,17.75
704,2.6,12.3
723,2.85,16.8
374,1.4,11.3
384,2.32,17.3
921,7.58,25.8
1161,4.0,24.35
400,1.58,12.96
510,1.86,12.3
302,1.16,11.76
655,2.9,17.02
551,2.6,13.3
2052,22.1,70.7
493,1.32,13.56
538,2.84,16.3
933,5.11,20.3
417,3.62,15.96
681,2.97,17.0
374,1.02,11.76
676,3.2,19.3
772,3.7,20.16
1689,9.08,30.3
796,2.14,17.16
773,3.66,28.65
2183,19.36,70.7
742,2.42,17.16
1769,18.9,62.15
335,1.35,9.36
699,2.66,17.76
262,1.12,11.16
840,3.29,19.56
1583,9.7,41.16
773,3.25,19.75
172,0.9,8.8
144,0.9,9.95
2482,26.6,78.92
1722,4.86,21.8
1641,10.0,40.59
285,1.38,12.74
593,2.6,17.85
738,4.8,23.15
1495,18.53,66.36
288,1.43,12.36
264,1.2,8.75
2088,20.37,68.79
1573,3.9,27.95
408,1.26,10.3
846,3.74,20.8
992,4.3,22.3
604,1.9,14.08
27,0.0,70.3
1774,18.3,71.42
812,2.71,18.1
1068,9.5,35.8
1755,8.35,29.8
293,1.1,10.8
408,1.3,10.35
158,0.5,9.75
424,2.37,14.76
939,6.5,30.35
425,1.21,12.96
871,4.39,18.8
612,3.84,19.56
628,3.23,18.36
238,0.49,9.96
410,1.1,13.5
374,1.27,8.76
496,1.86,13.3
474,1.8,11.8
1113,12.73,36.3
1080,4.26,21.3
447,1.01,12.36
254,1.31,11.76
551,2.37,15.96
578,2.52,16.56
353,1.6,10.8
768,3.46,19.56
788,2.4,12.3
783,3.34,19.56
355,1.02,11.76
1515,17.54,61.42
1927,19.27,73.7
1124,9.07,27.8
258,0.84,8.8
677,3.18,18.36
181,0.44,9.36
1524,6.31,32.76
577,2.08,12.36
1533,17.58,73.7
530,2.35,13.5
136,0.2,8.75
961,6.18,22.8
1087,8.3,61.42
181,0.7,9.95
372,2.4,14.15
1673,6.4,32.75
1462,8.2,35.75
285,1.15,9.8
814,5.3,23.3
316,1.61,12.36
207,1.36,11.16
853,4.78,24.3
433,1.0,10.3
1300,9.59,39.75
641,3.03,18.36
803,4.0,18.8
244,0.75,9.8
1706,8.61,32.8
956,3.8,22.3
1288,2.89,20.3
392,1.22,10.3
1023,11.5,33.3
735,2.8,12.8
259,0.83,8.8
453,2.68,15.96
185,0.67,8.3
2158,21.4,66.36
110,0.7,9.35
305,1.38,10.8
817,3.2,16.3
740,1.92,14.8
946,4.71,20.8
901,3.18,18.0
228,1.1,11.4
1355,6.78,26.3
417,1.69,13.56
1423,9.84,38.76
1047,7.29,32.76
1481,4.81,23.8
397,2.17,14.8
326,1.06,12.0
39,0.03,6.3
508,2.15,12.3
557,1.88,15.99
171,0.6,7.8
1216,5.1,19.3
1244,11.7,41.75
108,0.3,7.3
295,1.87,12.8
384,2.3,14.15
483,1.96,15.38
5,0.0,62.3
230,1.08,13.02
432,2.03,12.8
761,4.27,21.96
1014,5.0,24.95
1116,4.75,25.74
80,0.0,4.3
1079,10.97,32.8
216,0.82,10.56
1427,9.0,37.8
462,1.7,12.8
1733,18.41,65.3
857,4.25,21.0
1140,4.7,24.95
483,2.1,9.8
2156,19.0,73.67
2,0.0,72.8
127,0.3,8.75
325,1.3,12.36
390,0.86,11.76
1674,10.53,50.9
1735,18.43,54.3
513,2.3,14.0
422,1.17,12.88
720,2.8,17.3
1110,3.65,22.3
1702,17.14,55.3
769,4.0,17.8
1353,5.3,28.0
985,5.19,20.8
578,2.4,10.8
295,0.65,10.56
1717,5.53,26.3
1126,4.28,26.39
227,1.8,10.8
531,2.61,15.96
353,2.17,14.16
1245,14.5,45.8
428,1.7,12.8
410,1.3,12.95
1505,16.7,73.67
1209,6.79,35.3
1818,3.1,28.56
436,1.16,12.96
152,0.79,9.96
529,3.21,14.3
457,1.23,12.96
409,1.51,11.3
318,1.3,13.35
156,0.51,9.36
1567,10.1,34.3
60,0.0,0.0
591,2.8,14.3
522,2.4,15.95
1521,6.83,32.76
197,1.05,9.68
357,0.88,11.76
314,1.3,10.1
940,3.58,18.3
1408,4.21,23.3
281,1.4,11.75
686,3.54,16.3
1154,4.9,26.15
321,1.03,9.8
626,2.26,11.8
434,1.9,11.8
384,1.88,10.3
540,2.64,16.56
1084,6.48,27.92
952,5.15,24.96
422,1.7,11.3
1303,13.9,47.3
1249,7.92,34.56
9,0.0,78.92
